bgg_id,name,year,game_type,designer,artist,publisher,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,category,mechanic,cooperative,compilation,compilation_of,family,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id
,Legend of the Five Rings Roleplaying - Courts of Stone,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,jjMHHxe0mj,,,,,
,Golf the Card Game,2014,,,,,2,6,,,,,7,,60,60,,,,,,,,,,0,,,,,,jjMUSQd1zx,,,,,
,Breakaway Football: Expansion Teams,2017,,,,,1,4,,,,,12,,60,90,,,,,,,,,,0,,,,,,jjN2YBwo9j,,,,,
,A Game of Thrones: The Card Game - Valar Morghulis Chapter Pack,,,,,"name,id,url,num_games,score,game,images",,,,,,,,,,,,,,,,,,,,0,,,,,,jjO46ywg6t,,,,,
,Ghostbusters: The Board Game – Throwback Minis Pack,2017,,"id,num_games,score,game,url,images",Luis Antonio Delgado,"name,id,url,num_games,score,game,images",1,4,,,,,,,30,120,,,,,,,,,,0,,,,,,jjOMzxS6Wp,,,,,
,WOWBuildings Sci Fi Vehicle Expansion 3D STL Files,,,,,,,,,,,,,,,,rrvd68LjOR,,,,,,,,,,,,,,,jjONsp2jCZ,,,,,
,Canyon: Grand Canyon,1999,,"id,num_games,score,game,url,images","Sascha Krämer,Doris Matthäus","id,name,url,num_games,score,game,images",3,6,,,,,10,,,,,,,,,,,,,2,2.5,,,,,jjOPt00L1Y,,,,,
,K-Stateopoly,1984,,,,"name,id,url,num_games,score,game,images",2,5,,,,,,,,,,,,,,,,,,0,,,,,,jjOgj4RMMO,,,,,
,Radio Collector Card Game,2003,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,5,,,,,,,,,,,,,,,,,,0,,,,,,jjR2AmxISW,,,,,
,They Shall Not Pass: The Battle of Verdun 1916,2007,,"id,num_games,score,game,url,images","Robert Althammer,Beth Donahue,Susan Robinson","name,id,url,num_games,score,game,images",2,2,,,,,12,,90,90,,,,,,,,,,0,,,,,,jjS1mjhJfD,,,,,
